Entity,Code,Year,"Laws on child marriage (GID-DB, 2019)"
Afghanistan,AFG,2019,1
Albania,ALB,2019,0.5
Algeria,DZA,2019,0.5
Angola,AGO,2019,0.5
Antigua and Barbuda,ATG,2019,0.5
Argentina,ARG,2019,0.5
Armenia,ARM,2019,0.5
Australia,AUS,2019,0.5
Austria,AUT,2019,0.5
Azerbaijan,AZE,2019,0.5
Bahamas,BHS,2019,0.5
Bahrain,BHR,2019,1
Bangladesh,BGD,2019,0.5
Barbados,BRB,2019,0.5
Belarus,BLR,2019,0.5
Belgium,BEL,2019,0.5
Belize,BLZ,2019,0.5
Benin,BEN,2019,0.5
Bhutan,BTN,2019,0.25
Bolivia,BOL,2019,0.5
Bosnia and Herzegovina,BIH,2019,0.5
Botswana,BWA,2019,0.5
Brazil,BRA,2019,0.75
Brunei,BRN,2019,0.5
Bulgaria,BGR,2019,0.5
Burkina Faso,BFA,2019,1
Burundi,BDI,2019,0.5
Cambodia,KHM,2019,0.5
Cameroon,CMR,2019,1
Canada,CAN,2019,0.75
Cape Verde,CPV,2019,0.5
Central African Republic,CAF,2019,0.5
Chad,TCD,2019,0.5
Chile,CHL,2019,0.5
China,CHN,2019,0.25
Colombia,COL,2019,0.5
Comoros,COM,2019,0.5
Congo,COG,2019,0.5
Costa Rica,CRI,2019,0.5
Cote d'Ivoire,CIV,2019,0.5
Croatia,HRV,2019,0.5
Cuba,CUB,2019,0.5
Cyprus,CYP,2019,0.5
Czechia,CZE,2019,0.5
Democratic Republic of Congo,COD,2019,0.25
Denmark,DNK,2019,0
Djibouti,DJI,2019,0.5
Dominica,DMA,2019,0.5
Dominican Republic,DOM,2019,0.5
Ecuador,ECU,2019,0.5
Egypt,EGY,2019,0.25
El Salvador,SLV,2019,0.25
Equatorial Guinea,GNQ,2019,0.5
Eritrea,ERI,2019,0.5
Estonia,EST,2019,0.5
Eswatini,SWZ,2019,0.5
Ethiopia,ETH,2019,0.5
Fiji,FJI,2019,0.25
Finland,FIN,2019,0.5
France,FRA,2019,0.5
Gabon,GAB,2019,1
Gambia,GMB,2019,0.5
Georgia,GEO,2019,0.5
Germany,DEU,2019,0.25
Ghana,GHA,2019,0.5
Greece,GRC,2019,0.5
Grenada,GRD,2019,0.5
Guatemala,GTM,2019,0.25
Guinea,GIN,2019,1
Guinea-Bissau,GNB,2019,0.5
Guyana,GUY,2019,0.5
Haiti,HTI,2019,1
Honduras,HND,2019,0.5
Hong Kong,HKG,2019,0.5
Hungary,HUN,2019,0.5
Iceland,ISL,2019,0.5
India,IND,2019,0.5
Indonesia,IDN,2019,0.5
Iran,IRN,2019,0.75
Iraq,IRQ,2019,0.5
Ireland,IRL,2019,0.5
Israel,ISR,2019,0.5
Italy,ITA,2019,0.5
Jamaica,JAM,2019,0.75
Japan,JPN,2019,0.5
Jordan,JOR,2019,0.5
Kazakhstan,KAZ,2019,0.5
Kenya,KEN,2019,0.25
Korea,,2019,0.5
Kosovo,OWID_KOS,2019,0.5
Kuwait,KWT,2019,0.75
Kyrgyzstan,KGZ,2019,0.5
Laos,LAO,2019,0.25
Latvia,LVA,2019,0.5
Lebanon,LBN,2019,0.75
Lesotho,LSO,2019,0.5
Liberia,LBR,2019,0.5
Libya,LBY,2019,0.5
Lithuania,LTU,2019,0.5
Luxembourg,LUX,2019,0.5
Madagascar,MDG,2019,0.5
Malawi,MWI,2019,0.25
Malaysia,MYS,2019,1
Maldives,MDV,2019,0.5
Mali,MLI,2019,1
Malta,MLT,2019,0.75
Mauritania,MRT,2019,0.5
Mauritius,MUS,2019,0.5
Mexico,MEX,2019,0.75
Moldova,MDA,2019,0.5
Mongolia,MNG,2019,0.5
Montenegro,MNE,2019,0.5
Morocco,MAR,2019,0.5
Mozambique,MOZ,2019,0.5
Myanmar,MMR,2019,0.5
Namibia,NAM,2019,0.5
Nepal,NPL,2019,0.5
Netherlands,NLD,2019,0.25
New Zealand,NZL,2019,0.5
Nicaragua,NIC,2019,0.5
Niger,NER,2019,0.5
Nigeria,NGA,2019,0.5
North Macedonia,MKD,2019,0.5
Norway,NOR,2019,0.5
Oman,OMN,2019,0.5
Pakistan,PAK,2019,1
Palestine,PSE,2019,0.75
Panama,PAN,2019,0
Papua New Guinea,PNG,2019,1
Paraguay,PRY,2019,0.5
Peru,PER,2019,0.5
Philippines,PHL,2019,0.5
Poland,POL,2019,0.5
Portugal,PRT,2019,0.5
Qatar,QAT,2019,1
Romania,ROU,2019,0.5
Russia,RUS,2019,0.5
Rwanda,RWA,2019,0.25
Samoa,WSM,2019,1
Sao Tome and Principe,STP,2019,0.5
Saudi Arabia,SAU,2019,0.75
Senegal,SEN,2019,1
Serbia,SRB,2019,0.5
Seychelles,SYC,2019,1
Sierra Leone,SLE,2019,0.5
Singapore,SGP,2019,0.5
Slovakia,SVK,2019,0.75
Slovenia,SVN,2019,0.5
Solomon Islands,SLB,2019,0.75
Somalia,SOM,2019,0.5
South Africa,ZAF,2019,0.5
South Sudan,SSD,2019,0.75
Spain,ESP,2019,0.5
Sri Lanka,LKA,2019,0.5
Sudan,SDN,2019,0.75
Sweden,SWE,2019,0
Switzerland,CHE,2019,0
Syria,SYR,2019,1
Taiwan,TWN,2019,1
Tajikistan,TJK,2019,0.5
Tanzania,TZA,2019,1
Thailand,THA,2019,0.75
Timor,TLS,2019,0.75
Togo,TGO,2019,0.5
Trinidad and Tobago,TTO,2019,0.25
Tunisia,TUN,2019,0.5
Turkey,TUR,2019,0.5
Turkmenistan,TKM,2019,0.25
Uganda,UGA,2019,0.5
Ukraine,UKR,2019,0.5
United Arab Emirates,ARE,2019,0.5
United Kingdom,GBR,2019,0.5
United States,USA,2019,0.75
Uruguay,URY,2019,0.75
Uzbekistan,UZB,2019,1
Venezuela,VEN,2019,0.5
Vietnam,VNM,2019,0.25
Yemen,YEM,2019,0.75
Zambia,ZMB,2019,0.5
Zimbabwe,ZWE,2019,0.5
