"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Algeria","Female","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","18","1"
"Algeria","Male","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","21","1"
"Andorra","Female","2001","UNDAW_CEDAW Country Reports_Aug2007","Years","16","2"
"Andorra","Male","2001","UNDAW_CEDAW Country Reports_Aug2007","Years","16","2"
"Angola","Female","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","3"
"Angola","Male","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","3"
"Antigua and Barbuda","Female","1997","UNDAW_CEDAW Country Reports_Aug2007","Years","18","4"
"Antigua and Barbuda","Male","1997","UNDAW_CEDAW Country Reports_Aug2007","Years","18","5"
"Argentina","Female","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","16","6"
"Argentina","Male","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","18","6"
"Armenia","Female","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","17","7"
"Armenia","Male","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","17","7"
"Australia","Female","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","8"
"Australia","Male","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","8"
"Austria","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","16","9"
"Austria","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","16","9"
"Azerbaijan","Female","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","17","10"
"Azerbaijan","Male","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","18","10"
"Bahamas","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18","11"
"Bahamas","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","18","11"
"Bangladesh","Female","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","12"
"Bangladesh","Male","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","21","12"
"Barbados","Female","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","16","6"
"Barbados","Male","2002","UNDAW_CEDAW Country Reports_Aug2007","Years","16","6"
"Belarus","Female","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","13"
"Belarus","Male","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","13"
"Belgium","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18",""
"Belgium","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","18",""
"Belize","Female","1999","UNDAW_CEDAW Country Reports_Aug2007","Years","18","14"
"Belize","Male","1999","UNDAW_CEDAW Country Reports_Aug2007","Years","18","14"
"Benin","Female","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","15","15"
"Benin","Male","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","18","15"
"Bhutan","Female","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","16"
"Bhutan","Male","2004","UNDAW_CEDAW Country Reports_Aug2007","Years","18","16"
"Bolivia","Female","1995","UNDAW_CEDAW Country Reports_Aug2007","Years","14","17"
"Bolivia","Male","1995","UNDAW_CEDAW Country Reports_Aug2007","Years","16","17"
"Bosnia and Herzegovina","Female","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","18"
"Bosnia and Herzegovina","Male","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","18"
"Botswana","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","21","19"
"Botswana","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","21","19"
"Brazil","Female","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","21","20"
"Brazil","Male","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","21","20"
"Bulgaria","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18","21"
"Bulgaria","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","18","21"
"Burkina Faso","Female","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","17","22"
"Burkina Faso","Male","2005","UNDAW_CEDAW Country Reports_Aug2007","Years","20","22"
"Burundi","Female","2001","UNDAW_CEDAW Country Reports_Aug2007","Years","18","23"
"Burundi","Male","2001","UNDAW_CEDAW Country Reports_Aug2007","Years","21","23"
"Cambodia","Female","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","24"
"Cambodia","Male","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","20","24"
"Cameroon","Female","2000","UNDAW_CEDAW Country Reports_Aug2007","Years","15","25"
"Cameroon","Male","2000","UNDAW_CEDAW Country Reports_Aug2007","Years","18","25"
"Canada","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18","26"
"Canada","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","18","26"
"Cape Verde","Female","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","27"
"Cape Verde","Male","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","27"
"Central African Republic","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18",""
"Central African Republic","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","22",""
"Chile","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18","28"
"Chile","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","18","28"
"China","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","20",""
"China","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","22","29"
"Colombia","Female","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","18","30"
"Colombia","Male","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","18","30"
"Congo","Female","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","18","31"
"Congo","Male","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","21","31"
"Congo Dem. Rep.","Female","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","15","32"
"Congo Dem. Rep.","Male","2006","UNDAW_CEDAW Country Reports_Aug2007","Years","18","32"
"Cook Islands","Female","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","21","33"
"Cook Islands","Male","2007","UNDAW_CEDAW Country Reports_Aug2007","Years","21","33"
"Costa Rica","Female","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","15","34"
"Costa Rica","Male","2003","UNDAW_CEDAW Country Reports_Aug2007","Years","15","34"
"Côte d’Ivoire","Female","2003","UNPD_Inquiry on Population and Development_2003","Years","18",""
"Côte d’Ivoire","Male","2003","UNPD_Inquiry on Population and Development_2003","Years","21",""
