area_id,i00509002_pct_m_he,i00509002_pct_m_swb,i00509002_pct_m_r,i00509002_pct_m_pe,i00509002_pct_m_nepe,i00509002_pct_m_ne,i00509002_pct_m_sehe,i00509002_pct_m_lwb,i00509002_pct_m_fwb,i00509002_pct_m_hwb,i00509002_pct_m_se,i00509002_pct_m,i00509002_pct_m_u,i00509002_pct_m_mwb,objectid,name,dhs_cc,Shape__Area,Shape__Length
CF,,0,2.7,3.1,2.9,2.3,3,0,5.3,3.9,1.9,2.9,3.1,4.1,6,CENTRAL AFRICAN REPUBLIC,CF,50.6944184548781,46.8547974137269
KM,6.3,2.9,4.2,0.9,3.7,8.9,2.9,0,4.8,4.3,2.3,3.2,1.9,2.2,8,COMOROS,KM,0.140280088472119,4.25115614244059
CD,0.6,0,0.3,0.2,0.2,0,0.2,0.3,0.1,0,0.1,0.2,0,0.4,10,CONGO (Kinshasa),CD,189.947825164033,92.6890717405626
CI,0,0,0.2,0,0.2,0.4,0,0.6,0,0,0,0.1,0,0,11,COTE D'IVOIRE,CI,26.367643736622,34.1095124207906
GA,0,1.8,0,0,0,0,0.5,0,0,0,0.6,0.5,0.5,0,14,GABON,GA,21.3345601084754,39.364983363026
KE,0,0.2,0.4,0.9,0.8,0,0,1,0,0.3,0,0.3,0.3,0.5,18,KENYA,KE,47.597574441716,44.3081343812297
LB,,0.6,2.9,0.6,1.3,2.8,3.3,5.2,6,1.9,3.6,2.9,3,0.5,20,LIBERIA,LB,7.84507102933955,20.3303483445377
MD,0,2.9,1.7,2.2,2.3,2.8,0.6,1.5,1.8,0.6,0.8,1.8,2.1,2.4,21,MADAGASCAR,MD,50.9532541352225,90.9292439232229
MR,0,1.2,0,0.6,0.3,0,0,,0,0,0,0.2,0.3,0,24,MAURITANIA,MR,89.786262082707,57.6890880385629
ZA,1.1,0.5,0.3,0,0,,0.4,1.1,0,0,0.3,0.4,0.4,0,33,SOUTH AFRICA,ZA,113.113477778014,81.6106029594286
SZ,0,0,0.1,0,0.3,2.1,0,0.7,0,0,0,0.1,0,0,34,SWAZILAND,SZ,1.57003559121654,5.14004090620436
TZ,,0,0.7,0.9,0.8,0,0,1.3,1,0,0,0.5,0,0,35,TANZANIA,TZ,76.9745714319988,65.7870995152875
TG,0,0.7,0.2,0,0,0,0.1,0,0,0,0.2,0.1,0,0,36,TOGO,TG,4.68310474163072,15.6384102387971
ZM,0,0.2,0.1,0.1,0.1,0,0.2,0,0,0.4,0.2,0.1,0.2,0,38,ZAMBIA,ZM,62.8120238892915,52.3591218553138
ZW,0,0,0.1,0.3,0.3,,0,0.6,0,0,0,0.1,0,0,39,ZIMBABWE,ZW,33.5116575770481,29.4894840288945
CM,0,0.3,0.5,0,0,0,0.2,1,0,0,0.3,0.2,0,0,42,CAMEROON,CM,38.0144952092837,58.205114603074
NG,0,0,0.1,0,0.2,0.2,0,0.3,0,0,0,0,0,0,43,NIGERIA,NG,74.9010537823285,66.051797577589
TL,0,0,0.2,0.8,0.4,0,0,0.9,0,0,0,0.1,0,0,44,TIMOR-LESTE,TL,1.22675156249248,9.33243196848073
PG,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,46,PAPUA NEW GUINEA,PG,37.9333674948799,189.496738262443
AF,0,0.9,0.6,0.8,,0.9,,0.3,0.5,2.3,0.9,0.8,1.8,0.7,48,AFGHANISTAN,AF,62.5500578422649,58.1412899448616
IA,0.1,0.7,0.4,0.6,0.8,1,0.3,0.5,0.2,0.3,0.5,0.4,0.4,0.4,52,INDIA,IA,278.482179636938,280.551575412997
NP,0,5.6,0.8,0,3.4,14.6,0.6,0,0,1.1,1.2,1.2,1.4,0,55,NEPAL,NP,13.6068843302751,28.6109686502293
PK,0,0,0.2,0.3,0.4,0.5,0,0.5,0.7,0,0,0.2,0.2,0,56,PAKISTAN,PK,81.7272142390785,92.5681708943698
AL,2.7,0.8,0.4,0,0,,1.2,0,0,3.6,0,1,1.4,0,64,ALBANIA,AL,3.08127751059331,13.5661387614516
DR,0,0.5,1.3,2,2,2,0.6,2,1.4,0,0.9,1,0.9,0.8,72,DOMINICAN REPUBLIC,DR,4.14634866871447,18.583632762036
HN,0,3.4,1.5,3.2,3.1,2.8,0.5,2.3,2.8,0.4,0.7,1.7,1.9,0.1,77,HONDURAS,HN,9.42163728757292,31.5066001747904
GU,0,1,1.2,1.9,2.2,6,0,2.6,0.4,0.2,0,0.8,0.3,0.5,78,GUATEMALA,GU,9.18991089712082,19.2614254904807
BO,0,1.1,0.4,0.5,0.5,,0.8,0,0,0,1.3,0.8,0.9,3.1,79,BOLIVIA,BO,92.109152453993,55.6217869739559
BR,,0,1.1,0,0.6,,0,1.1,0,0,0,0.2,0,0,80,BRAZIL,BR,707.672254609118,437.954662182361
GY,0,0,1.3,4.9,4.1,,0.9,0,1.9,0,1.1,1.3,1.4,4,82,GUYANA,GY,17.207669597353,35.5034762382448
CO,0.1,2,1.7,5.8,5.5,1.6,0.8,2,0.3,0.4,1.4,1.2,1.1,1.2,85,COLOMBIA,CO,92.6958780565528,111.75023754331
