area_id,i475_years15plusfe_mfilipino,i475_years15plusfe_mvietnamese,i475_years70to74fe_m,i475_num70to74fe_m,i475_years15plusfe_m,i475_years15plusfe_mmixed_race,i475_num60to64fe_m,i475_num80plusfe_m,i475_num20to24fe_m,i475_years15plusfe_mindigenous,i475_years60to64fe_m,i475_years15plusfe_mother,i475_years80plusfe_m,i475_years15plusfe_mbrown_brazil,i475_years85plusfe_m,i475_num55to59fe_m,i475_years55to59fe_m,i475_years50to54fe_m,i475_years25to29fe_m,i475_num15plusfe_mu,i475_years15plusfe_masian,i475_years15plusfe_mjapanese,i475_years65to69fe_m,i475_years40to44fe_m,i475_years15plusfe_mblack,i475_years15plusfe_mforeign,i475_years45to49fe_m,i475_years15plusfe_mindian,i475_years15plusfe_mamerican_indian,i475_num15plusfe_m,i475_num50to54fe_m,i475_years15plusfe_mnative,i475_num75to79fe_m,i475_years20to24fe_m,i475_years30to34fe_m,i475_years15plusfe_mwhite,i475_num15plusfe_mnative,i475_years75to79fe_m,i475_years15plusfe_mchinese,i475_years15plusfe_mr,i475_years35to39fe_m,i475_years15plusfe_mkorean,i475_num15to19fe_m,i475_years15plusfe_mother_asian,i475_num65to69fe_m,i475_num15plusfe_mforeign,i475_num85plusfe_m,i475_years15plusfe_mu,objectid,cntry_name,cntry_code,bpl_code,Shape__Area,Shape__Length
426,,,20.25053079,,21.61394366,,,,101840,,20.25663717,,20.50628931,,20.45614035,,20.15418502,20.09737828,21.99703557,,,,20.1859375,20.1880805,,21.25543478,19.93058161,,,,,21.62348178,,,20.90186916,,,20.3,,20.93862491,20.37518574,,108260,,,,,24.24522901,37,Lesotho,426,14020,2.84559201088463,10.6085023378494
454,,,20.01719457,,19.63936673,,,,,,19.5810537,,20.28581363,,20.43501326,,19.48042582,19.32561308,19.0966532,,,,19.76377953,19.11422056,,20.03745318,19.15837696,,,,,19.62990414,,18.98562133,19.11736641,,,20.15517241,,19.36616267,18.96528815,,657360,,,,,21.3556774,41,Malawi,454,11080,9.91583567968238,26.1806171724058
480,,,19.10267857,,22.9731252,,,,46140,,20.94047619,,19.125,,19.65,,22.27798507,21.95439189,23.5734375,,,,19.81321839,22.28436019,,,22.69160105,,,,,22.86345967,,,22.60755149,,,18.81632653,,22.33556672,21.95663957,,50560,,,9290,,23.98093972,44,Mauritius,480,11090,0.175364820770691,4.58059686346902
646,,,19.73839662,,23.60751969,,,,514810,,19.81195652,,20.06886792,,20.07596372,,20.1943734,20.4254467,23.72529313,,,,19.36473881,21.51469816,,36.62,20.86059823,,,,,23.44124424,,,22.3622291,,,19.8820598,,23.02170461,21.52539438,,557040,,,,,27.78313253,49,Rwanda,646,11120,2.05600090195739,8.60474364168774
729,,,20.67718051,,20.90006761,,,,,,20.46292708,,20.88092759,,21.56594256,,20.32419793,20.18939169,20.33810281,,,,20.5247223,20.17122538,,22.81122071,20.12333955,,,,,20.89770722,,21.103662,20.31180097,,,20.74510015,,20.46347016,20.06341826,,1479875.95,,,,,24.27025764,55,Sudan,729,13050,156.497305162967,84.1652336170035
728,,,20.89345615,,19.9002796,,,,,,20.70290824,,20.97993059,,21.48190893,,20.62182543,20.43380983,18.58669984,,,,20.76683357,19.80502881,,19.69796726,20.19754125,,,,,19.90093803,,18.82955628,18.6796742,,,20.93857668,,19.96324315,18.98572937,,402176.65,,,,,19.66116673,58,South Sudan,728,11150,52.6399651530594,54.8496634357874
894,,,19.12004405,,20.45718313,,,,,,19.02190238,,19.27591973,,,,19.33574007,19.40879479,19.78043207,,,,18.94819159,19.73028311,,20.14712644,19.55796217,,,,,20.46314557,,20.10057295,19.80724971,,,19.29562044,,,19.55546385,,734180,,,,,,66,Zambia,894,11180,62.745301870714,55.4383298876103
116,,,20.39836954,,22.61394999,,,,796812.61,,21.1875916,,20.73961386,,20.68899998,,21.82827662,21.45709727,22.38398692,,,,20.50931262,21.08236239,,22.86205634,21.4134106,,,,,22.61239083,,,21.65936494,,,20.5018693,,22.19908485,21.01611824,,766082.09,,,,,24.28977142,75,Cambodia,116,33020,15.1159374305724,33.9732642646601
156,,,20.06171875,,22.36259056,,,,41301000,,20.13311309,,19.98255255,,19.82325286,,20.34307433,20.94670682,22.61054289,,,,19.83272838,22.79950564,,,22.43649054,,,,,,,,21.94966048,,,20.09175385,,21.85748872,22.07396022,,45342200,,,,,23.87165233,76,China,156,31010,948.424804097583,531.924719843471
524,,,16.30604484,,18.59878826,,,,,,16.75468578,,15.75024534,,15.45137881,,17.08457313,17.51157367,18.58262766,,,,16.51889068,18.05535231,,17.57935305,17.86735102,,,,,18.63981594,,19.46281318,18.2121093,,,16.00103591,,18.39292083,18.09071689,,1477958.4,,,,,20.11497681,95,Nepal,524,32090,13.6045205971767,28.8618751055254
