area_id,i93_years15to54mublack_caribbean,i93_years15to54muindigenous,i93_years15to54mublack_african,i93_years15to54mumontubio_ecuador,i93_num15to54muchinese,i93_num15to54mu,i93_num15to54muother,i93_years15to54mu,i93_years15to54muwhite,i93_years15to54muafro_ecuadorian,i93_years15to54muvietnamese,i93_years15to54mucoloured_zar,i93_num15to54muamerican_indian,i93_years15to54mublack,i93_years15to54munative,i93_years15to54umu,i93_years15to54mukorean,i93_years15to54mubgdi,i93_years15to54muasian,i93_years15to54muother_black,i93_num15to54muindian,i93_num15to54mufilipino,i93_years15to54mutwo_or_more_races,i93_years15to54mu_miw,i93_years15to54_mmu,i93_years15to54mubrown_brazil,i93_num15to54muother_asian,i93_years15to54muindian,i93_years15to54muchinese,i93_years15to54mumixed_race,i93_years15to54mupakistani,i93_years15to54mu_mbw,i93_num15to54mujapanese,i93_num15to54muforeign,i93_num15to54mukorean,i93_years15to54mufilipino,i93_years15to54mucreole_suriname,i93_years15to54muforeign,i93_years15to54muamerican_indian,i93_years15to54muother_asian,i93_years15to54mujapanese,i93_years15to54mulatin_american_indian,i93_num15to54muvietnamese,i93_years15to54rmu,i93_years15to54fe_mmu,i93_years15to54muother,i93_num15to54muwhite,objectid,cntry_name,cntry_code,bpl_code,Shape__Area,Shape__Length
204,,,,,,,,23.51038631,,,,,,,23.50902734,24.448032,,,,,,,,,26.37526721,,,,,,,,,,,,,23.27005301,,,,,,22.63057291,21.07097796,,,4,Benin,204,15010,9.500995851053,20.8275505233874
72,,,,,,,,27.21771101,,,,,,,27.51706115,,,,,,,,,,29.66652439,,,,,,,,,,,,,25.05040164,,,,,,,24.76470223,,,5,Botswana,072,14010,50.6637164158334,41.1766346526453
854,,,,,,,,22.74387337,,,,,,,22.59796254,26.46322985,,,,,,,,,26.3754372,,,,,,,,,,,,,24.59320974,,,,,,21.21379538,19.78981225,,,6,Burkina Faso,854,15020,22.6816665895228,32.8591631094504
120,,,,,,,,24.79518893,,,,,,,24.83966887,26.62356811,,,,,,,,,27.50276332,,,,,,,,,,,,,23.23723428,,,,,,22.43603052,22.31028937,,,9,Cameroon,120,12020,38.005260172972,62.557189496192
818,,,,,,,,25.66435122,,,,,,,25.60620865,26.76489776,,,,,,,,,28.07467952,,,,,,,,,,,,,28.85569106,,,,,,24.8223732,23.20500539,,,14,Egypt,818,13020,88.9802632175298,80.5846428017013
566,,,,,,,,26.51168358,,,,,,,,28.13934781,,,,,,,,,30.36545213,,,,,,,,,,,,,,,,,,,25.98800805,23.38384466,,,16,Nigeria,566,15130,74.9297121348737,69.1384865402582
231,,,,,,,,22.76578274,,,,,,,,26.24076864,,,,,,,,,25.17291025,,,,,,,,,,,,,,,,,,,21.81924669,20.50131237,,,24,Ethiopia,231,11050,92.8360841232751,53.8240890311324
288,,,,,,,,26.23386246,,,,,,,26.24122924,27.58123316,,,,,,,,,28.6391944,,,,,,,,,,,,,25.68518547,,,,,,24.42538773,24.11909851,,,27,Ghana,288,15060,19.6164584313792,28.1881991775898
324,,,,,,,,23.3757294,,,,,,,,26.41734633,,,,,,,,,27.88802469,,,,,,,,,,,,,,,,,,,21.13751838,19.77033464,,,28,Guinea,324,15070,20.2282073039584,51.71234208728
404,,,,,,,,24.61488736,,,,,,,24.61481575,25.00983759,,,,,,,,,26.87786694,,,,,,,,,,,,,24.60128757,,,,,,24.27835868,22.52535373,,,36,Kenya,404,11060,47.6483098575364,45.5613643058708
426,,,,,,,,25.87423219,,,,,,,25.88869201,26.07664036,,,,,,,,,27.61874504,,,,,,,,,,,,,25.0464817,,,,,,25.78656771,24.16815336,,,37,Lesotho,426,14020,2.84559201088463,10.6085023378494
430,,,,,,,,24.78750827,,,,,,,24.76452484,26.01658712,,,,,,,,,27.23169735,,,,,,,,,,,,,25.04348778,,,,,,23.47804962,22.4950951,,,38,Liberia,430,15090,7.84211021028667,23.153554508463
454,,,,,,,,21.6344474,,,,,,,21.6258726,23.39594889,,,,,,,,,23.81751153,,,,,,,,,,,,,22.16143179,,,,,,21.18725327,19.72681059,,,41,Malawi,454,11080,9.91583567968238,26.1806171724058
466,,,,,,,,23.38826086,,,,,,,23.35531605,26.34052305,,,,,,,,,27.60513358,,,,,,,,,,,,,23.96784103,,,,,,22.28932906,19.87548212,,,42,Mali,466,15100,106.657246724858,73.1800888812753
480,,,,,,,,26.69975973,,,,,,,26.52792268,27.10645565,,,,,,,,,29.3060462,,,,,,,,,,,,,29.43120201,,,,,,26.50114642,24.09117604,,,44,Mauritius,480,11090,0.175364820770691,4.58059686346902
504,,,,,,,,27.58318926,,,,,,,,28.14181242,,,,,,,,,30.56703967,,,,,,,,,,,,,,,,,,,26.81143013,24.59072804,,,45,Morocco,504,13040,39.4950187342428,43.6217371939699
508,,,,,,,,20.91427329,23.9224808,,,,,20.8710592,20.93607062,23.16116201,,,,,,,,,23.30715013,,,25.24390923,,26.32691175,23.14660938,,,,,,,19.76329187,,,,,,19.6640002,18.83630193,28.1146774,,46,Mozambique,508,11100,66.9845303566335,107.935423398052
