DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,0.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AIA: Anguilla,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARG: Argentina,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,79.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARM: Armenia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,30.2,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUS: Australia,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AUT: Austria,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AZE: Azerbaijan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,16.9,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BHR: Bahrain,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,56.7,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BGD: Bangladesh,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,29.4,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEL: Belgium,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,100,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BLZ: Belize,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,3,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BEN: Benin,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,11.6,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,BTN: Bhutan,SPP_CHLD_SOC_PROT: Proportion of children covered by social protection,_T: Total,2020,13.5,,PCNT: %,,,,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,_T: Total
