ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,age_code,age_desc,sex_code,sex_desc,UnitMultiplier,Units_code,Units_desc,timeSeries_id,timeSeries_keys,n_years,min_year,max_year,years,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
1,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,4.2,,,,4.2,,C: Country data
2,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2017,2017,[2017],,,,,,,,,,,,,,,,,,4.2,,,,4.2,,C: Country data
3,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2018,2018,[2018],,,,,,,,,,,,,,,,,,,1.4,,,1.4,,C: Country data
4,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,0,,0,,C: Country data
5,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,7.9,,,,,7.9,,C: Country data
6,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),51,Armenia,4,145,Western Asia,Country,44.93839317,40.29499741,ARM,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2016,2016,[2016],,,,,,,,,,,,,,,,,0,,,,,0,,C: Country data
7,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2011,2011,[2011],,,,,,,,,,,,1.9,,,,,,,,,,1.9,,C: Country data
8,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,15.5,,15.5,,C: Country data
9,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2019,2019,[2019],,,,,,,,,,,,,,,,,,,,15.5,,15.5,,C: Country data
10,5,Goal 5,Achieve gender equality and empower all women and girls,5.3,"Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation",C050301,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,2021.Q2.G.03,"['harmful traditional practices', 'advancement of women', 'gender equality', 'women', 'youth', 'adolescents']",SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),52,Barbados,4,29,Caribbean,Country,-59.5346489,13.13648273,BRB,1,1,Y20T24,20 to 24 years old,F,Female,,PT,% of married women aged 20-24 years,SP_DYN_MRBF15__Y20T24__F,age__sex,1,2012,2012,[2012],,,,,,,,,,,,,7.7,,,,,,,,,7.7,,C: Country data
