geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,latest_value,footnotes,nature
4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,,,,,,,,,,,,,,,,,,28.3,,,,28.3,,C: Country data
8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,,,,,,,,,,,,,,,,,,,11.8,,,11.8,,C: Country data
12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,,,,,,,,,,,,,,,,,,,,3.8,,3.8,,C: Country data
24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,,,,,,,,,,,,,,,,,30.3,,,,,30.3,,C: Country data
51,Armenia,4,145,Western Asia,Country,44.93839317,40.29499741,ARM,,,,,,,,,,,,,,,,,5.3,,,,,5.3,,C: Country data
31,Azerbaijan,4,145,Western Asia,Country,50.01064725,40.39229544,AZE,,,,,,,,,,,,11,,,,,,,,,,11,,C: Country data
50,Bangladesh,5,127,Southern Asia (excluding India),Country,89.17660788,22.86961622,BGD,,,,,,,,,,,,,,,,,,,,51.4,,51.4,,C: Country data
52,Barbados,4,29,Caribbean,Country,-59.5346489,13.13648273,BRB,,,,,,,,,,,,,29.2,,,,,,,,,29.2,,C: Country data
112,Belarus,5,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,,,,,,,,,,,,,,,,,,,,5,,5,,C: Country data
84,Belize,4,13,Central America,Country,-88.70199554,17.19965901,BLZ,,,,,,,,,,,,,,,,,33.5,,,,,33.5,,C: Country data
204,Benin,4,11,Western Africa,Country,2.339933594,9.65401646,BEN,,,,,,,,,,,,,,,,,,,30.6,,,30.6,,C: Country data
64,Bhutan,5,127,Southern Asia (excluding India),Country,90.45098484,27.39598568,BTN,,,,,,,,,,,25.8,,,,,,,,,,,25.8,,C: Country data
68,Bolivia (Plurinational State of),4,5,South America,Country,-64.66224284,-16.71273412,BOL,,,,,,,,,,,,,,,,,19.7,,,,,19.7,,C: Country data
70,Bosnia and Herzegovina,5,39,Southern Europe,Country,17.78584332,44.16845548,BIH,,,,,,,,,,,,,3.5,,,,,,,,,3.5,,C: Country data
